Game_ID,Season_ID,shot_id,Team_ID,Player_ID,Position_Group,Position,Game_Date,Home_Team,Away_Team,Event_Type,Shot_Made,Action_Type,Shot_Type,Basic_Zone,Zone_Name,Zone_Abb,Zone_Range,Loc_X,Loc_Y,Shot_Distance,Quarter,Mins_Left,Secs_Left
20801228,63,60,60,3849,G,PG,2009-04-15,LAC,OKC,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,0,48
20801217,63,61,95,3784,C,C,2009-04-15,BOS,WAS,"Missed Shot",0,"Jump Shot","3PT Field Goal","Above the Break 3",Center,C,"24+ ft.",-0.40,29.95,24.00,2,2,46
20801221,63,62,44,3584,F,PF,2009-04-15,IND,MIL,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Right Side",R,"8-16 ft.",-11.10,14.55,14.00,2,3,3
20801227,63,63,53,3416,F,SF,2009-04-15,SAS,NOH,"Missed Shot",0,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center",RC,"24+ ft.",-17.10,22.05,23.00,3,11,15
20801219,63,64,62,3791,F,PF,2009-04-15,CLE,PHI,"Missed Shot",0,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"8-16 ft.",0.00,14.65,9.00,3,11,23
20801225,63,65,51,3794,F,PF,2009-04-15,NYK,NJN,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center",RC,"16-24 ft.",-12.20,20.35,19.00,2,2,11
20801220,63,66,28,3428,C,C,2009-04-15,DAL,HOU,"Missed Shot",0,"Turnaround Fadeaway shot","2PT Field Goal",Mid-Range,"Left Side",L,"8-16 ft.",12.50,8.05,12.00,2,0,0
20801224,63,67,49,3710,G,SG,2009-04-15,MIN,SAC,"Missed Shot",0,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center",RC,"24+ ft.",-15.90,25.05,25.00,2,1,33
20801226,63,68,61,3094,F,PF,2009-04-15,ORL,CHA,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,Center,C,"8-16 ft.",-6.20,19.75,15.00,2,1,18
20801225,63,69,57,3628,G,PG,2009-04-15,NYK,NJN,"Missed Shot",0,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side",L,"24+ ft.",22.80,2.85,22.00,2,1,54
20801219,63,70,62,3791,F,PF,2009-04-15,CLE,PHI,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",-0.40,5.55,0.00,3,11,19
20801229,63,71,64,2863,F,SF,2009-04-15,PHX,GSW,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center",LC,"16-24 ft.",6.80,20.95,17.00,2,5,20
20801230,63,72,68,3583,F,PF,2009-04-15,POR,DEN,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center",LC,"16-24 ft.",11.40,20.85,19.00,2,1,37
20801228,63,73,35,3383,F,SF,2009-04-15,LAC,OKC,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,0,25
20801219,63,74,62,2959,C,C,2009-04-15,CLE,PHI,"Made Shot",1,"Tip Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",-0.20,4.95,0.00,3,11,17
20801225,63,75,51,3265,G,PG,2009-04-15,NYK,NJN,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center",LC,"16-24 ft.",7.50,21.75,18.00,2,1,33
20801227,63,76,53,3585,G,PG,2009-04-15,SAS,NOH,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,4.95,0.00,3,10,40
20801226,63,77,61,3473,G,SG,2009-04-15,ORL,CHA,"Missed Shot",0,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side",R,"24+ ft.",-23.60,11.55,24.00,2,0,49
20801228,63,78,60,3311,G,PG,2009-04-15,LAC,OKC,"Made Shot",1,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,0,16
20801229,63,79,64,2863,F,SF,2009-04-15,PHX,GSW,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,4,47
20801230,63,80,68,3489,F,SF,2009-04-15,POR,DEN,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"16-24 ft.",21.30,8.25,21.00,2,0,58
20801220,63,81,28,3428,C,C,2009-04-15,DAL,HOU,"Made Shot",1,"Slam Dunk Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,3,11,43
20801228,63,82,35,3383,F,SF,2009-04-15,LAC,OKC,"Missed Shot",0,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side",L,"24+ ft.",24.20,3.55,24.00,2,0,0
20801222,63,83,38,3842,G,SG,2009-04-15,MEM,ATL,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center",RC,"16-24 ft.",-10.80,21.95,19.00,3,10,13
20801219,63,84,62,3791,F,PF,2009-04-15,CLE,PHI,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"16-24 ft.",16.30,11.05,17.00,3,10,38
