Game_ID,Season_ID,Team_ID,Player_ID,Position_Group,Position,Game_Date,Home_Team,Away_Team,Event_Type,Shot_Made,Action_Type,Shot_Type,Basic_Zone,Zone_Name,Zone_Abb,Zone_Range,Loc_X,Loc_Y,Shot_Distance,Quarter,Mins_Left,Secs_Left
20801227,2000,53,3416,F,SF,2009-04-15,SAS,NOH,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.1,22.05,23.0,3,11,15
20801219,2000,62,3791,F,PF,2009-04-15,CLE,PHI,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.0,14.65,9.0,3,11,23
20801225,2000,51,3794,F,PF,2009-04-15,NYK,NJN,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.2,20.35,19.0,2,2,11
20801220,2000,28,3428,C,C,2009-04-15,DAL,HOU,Missed Shot,0,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.5,8.05,12.0,2,0,0
20801224,2000,49,3710,G,SG,2009-04-15,MIN,SAC,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,25.05,25.0,2,1,33
20801226,2000,61,3094,F,PF,2009-04-15,ORL,CHA,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-6.2,19.75,15.0,2,1,18
20801225,2000,57,3628,G,PG,2009-04-15,NYK,NJN,Missed Shot,0,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,2.85,22.0,2,1,54
20801219,2000,62,3791,F,PF,2009-04-15,CLE,PHI,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.55,0.0,3,11,19
20801229,2000,64,2863,F,SF,2009-04-15,PHX,GSW,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.8,20.95,17.0,2,5,20
20801230,2000,68,3583,F,PF,2009-04-15,POR,DEN,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.4,20.85,19.0,2,1,37
20801228,2000,35,3383,F,SF,2009-04-15,LAC,OKC,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,25
20801219,2000,62,2959,C,C,2009-04-15,CLE,PHI,Made Shot,1,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,4.95,0.0,3,11,17
20801225,2000,51,3265,G,PG,2009-04-15,NYK,NJN,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.5,21.75,18.0,2,1,33
20801227,2000,53,3585,G,PG,2009-04-15,SAS,NOH,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,4.95,0.0,3,10,40
20801226,2000,61,3473,G,SG,2009-04-15,ORL,CHA,Missed Shot,0,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,11.55,24.0,2,0,49
20801228,2000,60,3311,G,PG,2009-04-15,LAC,OKC,Made Shot,1,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,16
20801229,2000,64,2863,F,SF,2009-04-15,PHX,GSW,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,4,47
20801230,2000,68,3489,F,SF,2009-04-15,POR,DEN,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,21.3,8.25,21.0,2,0,58
20801220,2000,28,3428,C,C,2009-04-15,DAL,HOU,Made Shot,1,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,3,11,43
20801228,2000,35,3383,F,SF,2009-04-15,LAC,OKC,Missed Shot,0,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.2,3.55,24.0,2,0,0
20801222,2000,38,3842,G,SG,2009-04-15,MEM,ATL,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.8,21.95,19.0,3,10,13
20801219,2000,62,3791,F,PF,2009-04-15,CLE,PHI,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,11.05,17.0,3,10,38
20801219,2000,17,3665,G,PG,2009-04-15,CLE,PHI,Missed Shot,0,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,7.55,23.0,3,10,16
20801223,2000,43,3662,G,PG,2009-04-15,MIA,DET,Made Shot,1,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.9,42.15,42.0,2,0,0
20801227,2000,53,3416,F,SF,2009-04-15,SAS,NOH,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.9,15.15,19.0,3,10,15
20801222,2000,3,3843,F,PF,2009-04-15,MEM,ATL,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,3,9,52
20801220,2000,28,3774,F,PF,2009-04-15,DAL,HOU,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.3,6.75,15.0,3,11,3
20801230,2000,68,3583,F,PF,2009-04-15,POR,DEN,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,27
20801218,2000,12,3812,G,PG,2009-04-15,CHI,TOR,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.3,15.95,10.0,2,2,9
20801219,2000,62,3500,F,SF,2009-04-15,CLE,PHI,Missed Shot,0,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.5,13.85,9.0,3,10,7
20801220,2000,28,3428,C,C,2009-04-15,DAL,HOU,Missed Shot,0,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.8,8.95,6.0,3,10,58
20801222,2000,38,3713,F,SF,2009-04-15,MEM,ATL,Made Shot,1,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,3,9,46
20801224,2000,49,3830,C,C,2009-04-15,MIN,SAC,Missed Shot,0,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-5.8,11.35,8.0,2,0,46
20801219,2000,17,3001,C,C,2009-04-15,CLE,PHI,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,6.45,1.0,3,9,56
20801221,2000,44,3306,G,SG,2009-04-15,IND,MIL,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.3,16.05,18.0,2,2,6
20801228,2000,60,3549,C,C,2009-04-15,LAC,OKC,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.9,22.55,19.0,3,11,41
20801220,2000,20,3454,F,SF,2009-04-15,DAL,HOU,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.4,13.55,10.0,3,10,47
20801227,2000,53,3442,F,PF,2009-04-15,SAS,NOH,Missed Shot,0,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,8.35,3.0,3,9,31
